isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_MKFKR1C2,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C3,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C4,Enterobacter Cloacae Complex,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,R,,S,I,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C6,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C7,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,I,,S,R,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C8,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR1C9,Enterobacter Cloacae Complex,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,R,,,,S,S,R,,I,,S,,,,,R,S,,,,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR1C11,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,R,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,,,,I,,S,,S,,,S,,,,,S,S,S,
EC_MKFKR1C15,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR1C16,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,I,,S,I,,S,,S,,S,S,,,,,S,S,R,
